X,unigram,unifreq,prob
478,rest,4317,6.3718642415708e-06
479,bed,4309,6.36005629301102e-06
480,sunday,4308,6.35858029944104e-06
481,saturday,4278,6.31430049234187e-06
482,problem,4277,6.3128244987719e-06
483,move,4274,6.30839651806198e-06
484,group,4273,6.30692052449201e-06
485,cause,4256,6.28182863380248e-06
486,question,4250,6.27297267238265e-06
487,social,4240,6.25821273668292e-06
488,outside,4226,6.23754882670331e-06
489,yesterday,4222,6.23164485242342e-06
490,ive,4201,6.200648987454e-06
491,experience,4197,6.19474501317411e-06
492,order,4180,6.16965312248458e-06
493,power,4171,6.15636918035483e-06
494,living,4170,6.15489318678486e-06
495,wonderful,4161,6.1416092446551e-06
496,write,4124,6.08699748256613e-06
497,interesting,4104,6.05747761116668e-06
498,future,4102,6.05452562402673e-06
499,ur,4092,6.03976568832701e-06
500,hell,4088,6.03386171404712e-06
501,decided,4080,6.02205376548734e-06
502,damn,4074,6.01319780406751e-06
503,loved,4065,5.99991386193775e-06
504,public,4044,5.96891799696833e-06
505,ass,4042,5.96596600982839e-06
506,learn,4027,5.9438261062788e-06
507,eyes,4015,5.92611418343914e-06
508,behind,4014,5.92463818986916e-06
509,email,4013,5.92316219629919e-06
510,event,4010,5.91873421558927e-06
511,cut,4005,5.91135424773941e-06
512,short,3998,5.9010222927496e-06
513,haven,3992,5.89216633132977e-06
514,seeing,3982,5.87740639563005e-06
515,break,3977,5.87002642778018e-06
516,four,3968,5.85674248565043e-06
517,body,3966,5.85379049851049e-06
518,send,3964,5.85083851137054e-06
519,running,3948,5.82722261425099e-06
520,american,3934,5.80655870427137e-06
521,matter,3932,5.80360671713143e-06
522,country,3923,5.79032277500168e-06
523,local,3922,5.7888467814317e-06
524,beer,3913,5.77556283930195e-06
525,walk,3906,5.76523088431214e-06
526,woman,3906,5.76523088431214e-06
527,hair,3901,5.75785091646228e-06
528,facebook,3900,5.75637492289231e-06
529,fuck,3893,5.7460429679025e-06
530,gone,3886,5.7357110129127e-06
531,office,3854,5.68847921867358e-06
532,felt,3851,5.68405123796366e-06
533,boy,3832,5.65600736013419e-06
534,definitely,3819,5.63681944372455e-06
535,plan,3809,5.62205950802482e-06
536,chance,3804,5.61467954017496e-06
537,super,3797,5.60434758518515e-06
538,especially,3773,5.56892373950582e-06
539,dinner,3767,5.56006777808598e-06
540,self,3766,5.55859178451601e-06
541,tv,3757,5.54530784238626e-06
542,monday,3756,5.54383184881629e-06
543,waiting,3752,5.5379278745364e-06
544,ill,3751,5.53645188096642e-06
545,project,3748,5.53202390025651e-06
546,okay,3745,5.52759591954659e-06
547,understand,3744,5.52611992597662e-06
548,pick,3734,5.5113599902769e-06
549,media,3722,5.49364806743723e-06
550,ones,3716,5.48479210601739e-06
551,fall,3705,5.46855617674769e-06
552,starting,3702,5.46412819603778e-06
553,given,3700,5.46117620889783e-06
554,art,3698,5.45822422175789e-06
555,happen,3692,5.44936826033806e-06
556,meeting,3675,5.42427636964852e-06
557,needed,3674,5.42280037607855e-06
558,www,3665,5.4095164339488e-06
559,front,3664,5.40804044037883e-06
560,picture,3646,5.38147255611932e-06
561,wants,3644,5.37852056897938e-06
562,company,3643,5.37704457540941e-06
563,paper,3640,5.37261659469949e-06
564,series,3617,5.33866874259013e-06
565,gave,3612,5.33128877474026e-06
566,fan,3590,5.29881691620087e-06
567,several,3590,5.29881691620087e-06
568,town,3588,5.29586492906093e-06
569,tried,3588,5.29586492906093e-06
570,lots,3584,5.28996095478104e-06
571,visit,3564,5.26044108338159e-06
572,gotta,3563,5.25896508981162e-06
573,pay,3559,5.25306111553173e-06
574,single,3535,5.21763726985239e-06
575,film,3532,5.21320928914247e-06
576,wasn,3522,5.19844935344275e-06
577,green,3511,5.18221342417305e-06
578,deal,3488,5.14826557206369e-06
579,online,3486,5.14531358492374e-06
580,games,3482,5.13940961064385e-06
581,congrats,3480,5.13645762350391e-06
582,area,3479,5.13498162993394e-06
583,worth,3477,5.13202964279399e-06
584,wonder,3472,5.12464967494413e-06
585,omg,3470,5.12169768780418e-06
586,across,3460,5.10693775210446e-06
587,page,3459,5.10546175853449e-06
588,luck,3458,5.10398576496452e-06
589,store,3458,5.10398576496452e-06
590,child,3454,5.09808179068463e-06
591,christmas,3450,5.09217781640474e-06
592,john,3449,5.09070182283476e-06
593,forget,3445,5.08479784855487e-06
594,sense,3437,5.0729898999951e-06
595,rock,3436,5.07151390642512e-06
596,card,3435,5.07003791285515e-06
597,hi,3419,5.04642201573559e-06
598,huge,3417,5.04347002859565e-06
599,history,3409,5.03166208003587e-06
600,fans,3390,5.00361820220639e-06
601,works,3384,4.99476224078656e-06
602,students,3375,4.98147829865681e-06
603,looked,3374,4.98000230508684e-06
604,lunch,3364,4.96524236938711e-06
605,followers,3351,4.94605445297747e-06
606,five,3343,4.93424650441769e-06
607,possible,3338,4.92686653656783e-06
608,street,3330,4.91505858800805e-06
609,inside,3328,4.91210660086811e-06
610,giving,3323,4.90472663301824e-06
611,join,3322,4.90325063944827e-06
612,happened,3317,4.89587067159841e-06
613,sad,3317,4.89587067159841e-06
614,trip,3314,4.89144269088849e-06
615,including,3308,4.88258672946866e-06
616,service,3288,4.85306685806921e-06
617,lives,3285,4.84863887735929e-06
618,taken,3255,4.80435907026012e-06
619,although,3245,4.7895991345604e-06
620,seriously,3242,4.78517115385048e-06
621,parents,3235,4.77483919886067e-06
622,takes,3230,4.76745923101081e-06
623,weather,3228,4.76450724387087e-06
624,large,3222,4.75565128245103e-06
625,son,3217,4.74827131460117e-06
626,totally,3216,4.7467953210312e-06
627,seem,3213,4.74236734032128e-06
628,within,3190,4.70841948821192e-06
629,based,3186,4.70251551393203e-06
630,spring,3186,4.70251551393203e-06
631,site,3183,4.69808753322211e-06
632,community,3176,4.6877555782323e-06
633,park,3176,4.6877555782323e-06
634,coffee,3169,4.6774236232425e-06
635,sound,3164,4.67004365539263e-06
636,national,3159,4.66266368754277e-06
637,cold,3156,4.65823570683285e-06
638,fine,3151,4.65085573898299e-06
639,cute,3144,4.64052378399319e-06
640,mine,3131,4.62133586758355e-06
641,death,3112,4.59329198975407e-06
642,road,3104,4.58148404119429e-06
643,law,3097,4.57115208620448e-06
644,available,3088,4.55786814407473e-06
645,drive,3082,4.5490121826549e-06
646,college,3081,4.54753618908493e-06
647,turned,3069,4.52982426624526e-06
648,finished,3055,4.50916035626564e-06
649,listening,3031,4.47373651058631e-06
650,final,3027,4.46783253630642e-06
651,human,3019,4.45602458774664e-06
652,known,3015,4.45012061346675e-06
653,hold,3007,4.43831266490697e-06
654,blue,3006,4.436836671337e-06
655,above,3005,4.43536067776702e-06
656,strong,3002,4.43093269705711e-06
657,stand,2999,4.42650471634719e-06
658,shows,2993,4.41764875492736e-06
659,drink,2985,4.40584080636758e-06
660,longer,2979,4.39698484494774e-06
661,usually,2978,4.39550885137777e-06
662,boys,2976,4.39255686423782e-06
663,hands,2966,4.3777969285381e-06
664,april,2962,4.37189295425821e-06
665,spent,2960,4.36894096711827e-06
666,cannot,2953,4.35860901212846e-06
667,mr,2949,4.35270503784857e-06
668,doesnt,2945,4.34680106356868e-06
669,st,2944,4.34532506999871e-06
670,simply,2943,4.34384907642874e-06
671,busy,2939,4.33794510214885e-06
672,center,2939,4.33794510214885e-06
673,whatever,2938,4.33646910857887e-06
674,government,2926,4.31875718573921e-06
675,information,2925,4.31728119216923e-06
676,voice,2922,4.31285321145932e-06
677,whether,2916,4.30399725003948e-06
678,dead,2914,4.30104526289954e-06
679,website,2914,4.30104526289954e-06
680,dog,2906,4.28923731433976e-06
681,tweets,2889,4.26414542365023e-06
682,exactly,2882,4.25381346866042e-06
683,listen,2879,4.2493854879505e-06
684,system,2874,4.24200552010064e-06
685,age,2870,4.23610154582075e-06
686,air,2863,4.22576959083094e-06
687,text,2855,4.21396164227117e-06
688,perhaps,2849,4.20510568085133e-06
689,met,2845,4.19920170657144e-06
690,challenge,2844,4.19772571300147e-06
691,tired,2839,4.19034574515161e-06
692,alone,2836,4.18591776444169e-06
693,lets,2836,4.18591776444169e-06
694,dream,2834,4.18296577730175e-06
695,piece,2833,4.18148978373177e-06
696,simple,2831,4.17853779659183e-06
697,process,2827,4.17263382231194e-06
698,answer,2823,4.16672984803205e-06
699,anyway,2822,4.16525385446208e-06
700,la,2822,4.16525385446208e-06
701,due,2818,4.15934988018219e-06
702,knows,2815,4.15492189947227e-06
703,middle,2815,4.15492189947227e-06
704,health,2811,4.14901792519238e-06
705,space,2811,4.14901792519238e-06
706,completely,2809,4.14606593805244e-06
707,sent,2809,4.14606593805244e-06
708,cover,2805,4.14016196377255e-06
709,fast,2802,4.13573398306263e-06
710,agree,2800,4.13278199592268e-06
711,jesus,2800,4.13278199592268e-06
712,questions,2796,4.12687802164279e-06
713,create,2791,4.11949805379293e-06
714,door,2789,4.11654606665299e-06
715,bar,2788,4.11507007308302e-06
716,ways,2786,4.11211808594307e-06
717,pictures,2785,4.1106420923731e-06
718,sun,2777,4.09883414381332e-06
719,date,2765,4.08112222097365e-06
720,level,2763,4.07817023383371e-06
721,personal,2758,4.07079026598384e-06
722,fire,2745,4.0516023495742e-06
723,clear,2744,4.05012635600423e-06
724,eating,2733,4.03389042673453e-06
725,wife,2726,4.02355847174473e-06
726,ha,2716,4.008798536045e-06
727,moving,2716,4.008798536045e-06
728,near,2707,3.99551459391525e-06
729,bought,2698,3.9822306517855e-06
730,dude,2695,3.97780267107558e-06
731,missed,2695,3.97780267107558e-06
732,sitting,2694,3.97632667750561e-06
733,couldn,2685,3.96304273537586e-06
734,save,2677,3.95123478681608e-06
735,youre,2668,3.93795084468633e-06
736,church,2663,3.93057087683647e-06
737,themselves,2662,3.9290948832665e-06
738,act,2660,3.92614289612655e-06
739,dark,2651,3.9128589539968e-06
740,style,2649,3.90990696685685e-06
741,sick,2648,3.90843097328688e-06
742,building,2644,3.90252699900699e-06
743,south,2643,3.90105100543702e-06
744,dad,2639,3.89514703115713e-06
745,spend,2637,3.89219504401719e-06
746,entire,2632,3.88481507616732e-06
747,million,2631,3.88333908259735e-06
748,etc,2629,3.88038709545741e-06
749,played,2629,3.88038709545741e-06
750,shot,2626,3.87595911474749e-06
751,success,2618,3.86415116618771e-06
752,added,2617,3.86267517261774e-06
753,sign,2615,3.85972318547779e-06
754,low,2606,3.84643924334804e-06
