fourgram,fourfreq,predictor,fivefreq,prob
to_make_the_most,37,of,34,0.918918918918919
wake_up_in_the,49,morning,34,0.693877551020408
was_a_lot_of,91,fun,34,0.373626373626374
will_be_interesting_to,42,see,34,0.80952380952381
will_you_please_follow,34,me,34,1
a_great_way_to,205,start,33,0.160975609756098
a_mi_run_with,63,a,33,0.523809523809524
at_the_top_of,236,my,33,0.139830508474576
day_to_all_the,143,moms,33,0.230769230769231
everything_happens_for_a,34,reason,33,0.970588235294118
here_are_some_of,58,the,33,0.568965517241379
in_the_center_of,52,the,33,0.634615384615385
light_at_the_end,34,of,33,0.970588235294118
may_not_be_able,34,to,33,0.970588235294118
may_the_fourth_be,33,with,33,1
only_a_matter_of,37,time,33,0.891891891891892
over_the_course_of,94,the,33,0.351063829787234
the_best_way_to,260,get,33,0.126923076923077
the_next_couple_of,78,days,33,0.423076923076923
there_was_a_lot,43,of,33,0.767441860465116
to_the_rest_of,57,the,33,0.578947368421053
too_good_to_be,35,true,33,0.942857142857143
towards_the_end_of,58,the,33,0.568965517241379
want_to_go_to,198,the,33,0.166666666666667
are_going_to_have,72,to,32,0.444444444444444
come_to_think_of,35,it,32,0.914285714285714
everyone_is_having_a,62,great,32,0.516129032258065
have_to_go_to,148,the,32,0.216216216216216
hope_to_see_you,395,again,32,0.0810126582278481
if_you_want_to,626,know,32,0.0511182108626198
in_the_name_of,146,the,32,0.219178082191781
it_was_the_first,80,time,32,0.4
it_would_be_fun,45,to,32,0.711111111111111
life_is_too_short,44,to,32,0.727272727272727
not_a_big_fan,37,of,32,0.864864864864865
one_of_the_best,497,things,32,0.0643863179074447
please_let_me_know,124,if,32,0.258064516129032
thank_you_very_much,148,for,32,0.216216216216216
to_be_a_good,137,day,32,0.233576642335766
to_let_you_know,87,that,32,0.367816091954023
what_are_your_plans,58,for,32,0.551724137931035
what_would_you_do,66,if,32,0.484848484848485
you_are_having_a,77,great,32,0.415584415584416
you_so_much_for,243,your,32,0.131687242798354
a_time_of_with,31,nike,31,1
all_the_moms_out,32,there,31,0.96875
and_let_me_tell,34,you,31,0.911764705882353
are_you_going_to,338,the,31,0.0917159763313609
before_the_end_of,49,the,31,0.63265306122449
but_for_the_most,31,part,31,1
for_those_of_us,59,who,31,0.525423728813559
have_to_check_it,34,out,31,0.911764705882353
hope_to_see_you,395,all,31,0.0784810126582279
i_hope_you_have,52,a,31,0.596153846153846
if_do_say_so,31,myself,31,1
is_a_bit_of,48,a,31,0.645833333333333
is_going_to_be,863,an,31,0.0359212050984936
let_me_know_how,95,it,31,0.326315789473684
look_forward_to_your,73,tweets,31,0.424657534246575
me_know_if_you,207,have,31,0.14975845410628
no_matter_how_many,54,times,31,0.574074074074074
on_both_sides_of,40,the,31,0.775
so_much_for_the,251,follow,31,0.123505976095618
thank_you_for_the,806,kind,31,0.0384615384615385
thank_you_thank_you,73,thank,31,0.424657534246575
